cluster,height_for_age_zscores,longitude,latitude,malaria_incidence_rate
2,-1.55736842105263,-10.34492576,6.323942407,1.10964871105263
3,-1.31428571428571,-10.81563235,6.859292462,0.970052285
4,-2.48009090909091,-9.5325916,6.015931482,1.29617063554545
5,-1.48394117647059,-10.78871485,6.369884359,0.913152519411765
6,-1.17586666666667,-10.74147761,6.332379067,0.866698356533333
7,-2.01605555555556,-10.09131875,6.642636132,1.22927075616667
8,-0.919,-10.46121283,6.389800929,1.170041839
9,-1.2812,-10.24742124,6.109243959,1.2876156806
10,-0.529583333333333,-10.33825718,6.539330788,1.08388370275
11,-1.152,-11.34802116,6.767662118,1.08609204992308
13,-1.13763636363636,-9.736857523,7.088566376,1.37008355963636
14,-1.6032,-10.38326792,6.27584674,1.2383974909
15,-1.47621428571429,-10.7489611,6.456550289,1.30925324985714
16,-3.26877777777778,-10.80671978,6.323081157,0.950742840777778
17,-2.366125,-8.799583621,7.289499153,1.4219699875625
18,-1.53165,-10.68615198,6.275520565,0.91051287055
19,-1.71014285714286,-8.529446311,6.400842308,1.42594732542857
21,-1.99369230769231,-10.81828079,6.86850347,1.01420859207692
22,-1.40433333333333,-9.700915022,5.995133863,1.226293564
23,-1.43111538461538,-10.43531803,6.351329566,1.15770666857692
24,-1.05165,-10.27706524,6.487588242,1.2293944062
26,-1.36076470588235,-8.815442674,5.993113357,1.35235851647059
27,-2.76011111111111,-9.971753151,7.126579203,1.40154266366667
28,-0.3240625,-10.79795557,6.393856142,0.966296043375
30,-0.694793103448276,-9.470106039,6.99114183,1.16388178286207
32,-2.0116875,-10.0764558,7.17506172,1.402147598875
33,-2.13088888888889,-7.683940349,4.39085358,1.20458496488889
34,-2.11858333333333,-8.523429549,6.276463627,1.42623804008333
35,-1.04463636363636,-8.390612271,7.158555624,1.52136205154545
36,-2.03342857142857,-7.62836181,4.573090823,1.35302213257143
37,-1.73866666666667,-10.83271868,7.047203498,1.23144881908333
38,-0.4796,-10.76450374,7.045994249,1.2138698338
39,0.100545454545455,-10.73751904,6.319450393,0.868328972363636
40,-0.67815,-10.77021135,6.335758321,0.8612434893
41,-2.43952941176471,-7.974924579,5.347065662,1.30393099082353
42,-0.622,-10.67988052,7.677865852,1.4161058665
43,-0.8866,-11.14224452,7.228810942,1.18533534206667
45,-1.47388888888889,-9.427746974,6.490714141,1.37307847855556
46,-1.07664705882353,-9.320579075,7.003645377,1.42323091464706
47,-0.872,-10.61767645,7.556765868,1.400763512
49,-1.656,-10.01061752,8.357202787,1.30395763646154
50,-2.381875,-9.638977261,8.460071943,1.4460727049375
51,-1.48189473684211,-9.540717122,7.957248958,1.42545445978947
52,-1.48225,-10.85444932,6.521470967,1.30044777175
53,-2.01358333333333,-7.71352995,4.389053839,1.12946271891667
54,-1.00472727272727,-10.74502719,6.321646832,0.865580986954545
55,0.39175,-10.72611092,6.332192858,0.967625141
56,-1.35071428571429,-10.14871123,7.143078242,1.38931378307143
57,-1.90457142857143,-10.70889512,6.267655932,1.00425354057143
58,-2.2132,-8.566942439,6.161584293,1.4185709476
59,-1.53794117647059,-9.582503854,6.979622365,1.25154941205882
60,-1.11646666666667,-10.04363148,7.267880756,1.39454530893333
61,-1.6803,-10.74474239,6.282655415,0.9648271859
62,-2.31719047619048,-7.69454643,4.391679484,1.21753337828571
63,-0.620166666666667,-10.80818387,6.305945344,0.793961534833333
64,1.31533333333333,-10.69801619,6.2920648,0.986685693333333
65,-1.14433333333333,-10.72703889,6.363539889,1.02167323426667
66,-1.02577777777778,-10.78597728,6.294964087,0.970920152222222
67,0.7245,-10.8014651,6.321625716,0.893127746875
68,-2.1785,-10.7354715,6.281745142,0.987057154333333
71,-1.06305882352941,-10.36016157,6.452682941,1.25510287270588
72,-0.545666666666667,-9.122485036,5.958531605,1.29912632313333
73,-1.32517647058824,-10.67918973,6.255810841,0.869459180235294
74,-1.18844444444444,-7.658901034,4.528561777,1.3156653975
75,-1.23455555555556,-10.81386014,6.983113666,1.27824073366667
76,-1.518,-8.043084235,6.21476838,1.47591424991667
77,-1.72283333333333,-11.10893439,6.825684529,1.23375010475
78,-1.058,-10.51691309,7.358795084,1.28206741816667
79,-2.216,-8.233016758,4.683336665,1.19398551636364
80,-2.03905882352941,-8.06511035,5.503585396,1.41386114829412
81,-2.08995,-7.993670576,5.159042839,1.32000080345
82,-2.69831578947368,-8.86081247,7.027883633,1.456946875
83,-0.169923076923077,-10.47709604,7.07596622,1.26690685753846
84,-2.3168,-9.554443547,5.855239417,1.3322599412
85,-1.78235714285714,-10.6912829,6.265063934,0.883567707785714
87,-0.865,-10.54742093,7.635201718,1.34542463216667
88,-2.00763636363636,-11.28831119,6.704211509,1.15777326718182
89,-1.97621428571429,-8.440335445,4.864278807,1.37785169935714
90,-1.97566666666667,-8.932958269,6.291020565,1.40371147122222
91,-1.2265,-10.64194191,7.215607584,1.21496306157143
92,-1.79157142857143,-7.90713829,4.910864367,1.36814751514286
93,-1.61719047619048,-10.78338998,6.384132771,1.00595896580952
95,-2.138375,-8.093659957,4.654578249,1.2830877303125
96,-1.45054545454545,-7.818298997,5.766310169,1.51189404181818
98,-1.35364285714286,-10.23486402,8.295488759,1.36286623157143
99,-1.72745454545455,-7.767643239,4.477212521,1.23454653136364
100,-1.92169230769231,-7.992267713,6.102044214,1.57107615461538
101,-1.95221052631579,-7.703374105,4.382618102,1.21138065726316
102,-1.79358333333333,-7.719354185,4.381068736,1.15146805858333
103,-1.00359090909091,-8.42287743,4.708903416,1.14474003945455
105,-2.5958,-10.71494353,7.071546714,1.3370161056
106,-2.00631818181818,-7.709397215,4.58776387,1.36234896827273
107,-1.9284,-10.76612362,6.301057243,0.947168088
108,-1.12335294117647,-10.76598181,6.334649247,0.914287665176471
109,-3.515,-9.889540907,8.363758555,1.38960590082353
110,-1.80705263157895,-8.563750875,7.164837329,1.47974302905263
111,-1.18453846153846,-7.67363566,4.597695685,1.24977939869231
112,-1.1955,-9.116312521,5.362245722,1.30853935066667
113,-2.00242105263158,-7.705407072,4.574577063,1.401281181
114,-1.59538888888889,-9.225973457,7.339815789,1.4614923265
115,-1.89645454545455,-8.47521964,6.975057257,1.47545617286364
116,-0.744190476190476,-10.69733435,6.306713155,0.961332993761905
117,-0.756,-10.69527149,6.251928184,0.9287688076
118,-1.57016666666667,-8.718797888,7.351194113,1.36768488738889
119,-0.665210526315789,-8.718306282,7.369000613,1.36902849905263
121,-1.11586666666667,-10.76663233,6.356874974,0.882332515533333
123,-2.09404761904762,-8.66026223,6.923918372,1.46277314142857
124,-2.43565217391304,-7.588394225,4.705324541,1.38979042613043
125,-1.58964285714286,-10.49280144,6.623051322,1.338214176
126,-1.12816666666667,-10.1121052,6.6433912,1.24347858961111
127,-1.51885714285714,-10.72034152,6.311027332,0.856900317571429
128,-1.39153846153846,-10.71361465,6.604612475,1.28024056323077
129,0.285875,-10.3572735,6.539692747,1.049464732375
130,-2.50044444444444,-8.080142128,5.277965371,1.34299393477778
131,-1.45090476190476,-10.87119652,7.094387262,1.32925803890476
132,-1.83876470588235,-10.44918893,6.369679514,1.16423529729412
133,-1.26708695652174,-10.78089888,6.359787454,0.907160727782609
134,-2.396375,-7.60776175,4.598639298,1.36836862575
136,-2.26316666666667,-8.772704239,6.706199915,1.39885159333333
137,-0.973461538461538,-7.557744205,5.84317441,1.56041343392308
138,-0.742777777777778,-7.730745644,5.868434075,1.547279888
139,-2.1646,-10.04504065,5.879446846,0.8805222034
140,-1.03070588235294,-8.130868537,6.077528327,1.22878714164706
141,-1.93241935483871,-8.690915388,4.923145904,1.38239623290323
142,-1.41306666666667,-8.984911535,5.292460184,1.31180719513333
143,-1.13808695652174,-8.120132605,6.046983718,1.34144768526087
144,-0.747047619047619,-10.02665261,6.009231465,1.32148215904762
146,-1.88914285714286,-9.976359679,7.546596647,1.39211774707143
147,-1.32736842105263,-10.75062843,6.383589539,1.04499230247368
148,-1.33771428571429,-10.65538049,7.146165873,1.28822263657143
150,0.44095652173913,-7.709498397,5.129428536,1.41796902982609
151,-1.01433333333333,-10.28823218,8.397429124,1.372784853
152,-1.84871428571429,-8.759165474,7.175881288,1.49463114285714
153,-2.533,-9.10559101,6.783397365,1.42530580933333
154,-0.777833333333333,-10.77916261,6.337968932,0.851507653666667
155,-1.996,-8.323748127,6.90429941,1.42515606992857
156,-1.12915789473684,-10.7750921,6.342899509,0.891105730157895
159,-1.41585714285714,-10.77494176,6.344309772,0.879317169371429
160,-0.7162,-9.581757278,5.452184701,1.1154170454
161,1.29225,-10.79927624,6.320989236,0.89913187925
162,-0.822888888888889,-10.046962,7.948079116,1.49345746333333
163,-0.678714285714286,-11.36201731,6.75217041,1.0782828327619
164,-1.17346666666667,-9.510064141,7.53932578,1.4551894826
165,-2.7365,-10.72424093,6.32267096,0.9029847385
166,-1.53709523809524,-9.719621162,6.897977552,1.29741639185714
168,-1.52423529411765,-9.280024362,6.172227438,1.35050863370588
170,-2.15931578947368,-9.00124498,5.100386612,1.38412033278947
171,-1.06,-10.67806438,7.190990096,1.22297410166667
172,-1.13995238095238,-7.710222272,4.378994157,1.10886160552381
173,-0.359461538461538,-8.118374058,6.068162466,1.35712179792308
174,-2.7798,-11.24510016,7.114705133,1.27714276293333
175,-1.2682,-10.65114339,6.39549183,1.2401276829
176,-2.07233333333333,-11.12114427,7.277378539,1.29047449433333
177,-2.60622222222222,-8.637618427,7.499510337,1.49616588522222
179,-1.37654545454545,-10.36200478,6.534771519,1.04993680118182
180,-2.40152941176471,-10.05988558,6.429142164,1.36316307135294
181,-2.536,-8.422233148,6.219187879,1.4490183592
182,-0.879333333333333,-10.03976639,5.898016931,1.0387783
183,-1.4655,-10.03850661,5.878991967,1.0398690178125
184,-0.834,-9.518986178,7.690209851,1.44634358364286
185,-1.00257894736842,-9.39621803,7.230830676,1.42785374736842
186,-1.67265,-8.050662121,6.047714148,1.5150180343
187,-1.62268,-10.85108743,7.055888435,1.22280403636
188,-1.05406666666667,-10.6972594,6.289754998,0.842069037733333
189,-1.28863157894737,-10.40959282,6.616775179,1.27837983526316
190,-1.163,-10.12006953,6.548487953,1.26965996966667
191,-2.89948,-7.953464137,5.236984872,1.37310517776
192,-1.906,-10.02363094,5.888548951,1.02367713346154
193,-0.836545454545455,-9.752628496,8.425132109,1.17067770545455
194,0.034666666666667,-10.68871954,6.303497899,0.892321109666667
195,-1.0888,-10.40554112,6.497359184,1.2361968802
196,-3.22417647058824,-7.998211648,5.384599573,1.38218133605882
197,-1.40518181818182,-10.22393058,6.562431279,1.33172086145455
198,-1.2019,-9.635363188,6.868773798,1.35208768825
199,-1.28028571428571,-10.51874886,6.98047862,1.31943413228571
200,-0.806105263157895,-10.66959564,6.926909738,1.27874343652632
201,-0.9358,-10.77544581,6.33480388,0.9057530343
202,-1.80225,-9.897085009,6.398111133,1.3840381263
203,-1.98215,-9.876591981,5.854631897,1.262859732
204,-2.03910526315789,-8.13637991,6.059817745,1.20576612573684
205,-2.1888125,-10.54638658,6.982048938,1.3479843364375
206,-2.738,-9.74666585,6.485445437,1.2922985701875
207,-1.819875,-10.68242327,6.293455705,0.932108864125
208,-1.81342105263158,-10.76335926,6.501147438,1.24869212978947
209,-1.30722222222222,-10.12001143,6.115276256,1.3084406985
210,-1.43577777777778,-9.458704132,6.985021803,1.16842050016667
211,-1.3274,-10.74837592,6.353147965,0.9499343096
212,-1.47631578947368,-10.3658494,6.245217593,0.998841235421053
213,-0.1155,-10.74239289,6.362747777,0.88467992825
214,-1.18981818181818,-10.83191282,6.862065399,1.00478235172727
215,-1.62194444444444,-9.758380632,8.414993938,1.22778793827778
216,-1.70640909090909,-8.229972504,4.675837824,1.21016923945455
217,-1.185125,-10.80111612,6.302956462,0.959492676
218,-1.45266666666667,-9.218099967,5.51662236,1.3745486735
219,-1.25877777777778,-7.869659857,4.643168686,1.3154684635
220,-1.06722222222222,-9.964780752,7.200742558,1.369298021
221,-2.35683333333333,-8.487677978,5.122185375,1.31620907775
222,-1.8775,-9.982086978,7.660701213,1.44165928183333
224,-1.97033333333333,-8.572774323,7.562697022,1.39069206188889
225,-2.52193103448276,-7.901833163,5.770297366,1.5032469937931
226,-0.266571428571429,-10.7764311,6.361951783,0.895442647571429
227,-1.04573913043478,-10.59038936,6.398446482,1.19939049947826
228,-1.312375,-10.10004317,6.745817097,1.19754852375
229,-1.058,-10.66313285,6.953907305,1.3258573115
230,-1.54113043478261,-8.157595101,6.059877198,1.20361620447826
231,-1.493,-9.965140258,7.213344317,1.37527855211111
232,-1.322,-10.35155595,6.5235473,1.066759895625
233,-2.09692,-10.15276531,7.142997457,1.4034238006
234,-1.7325,-10.51860705,7.306633507,1.14587867275
235,-1.08176923076923,-7.746193207,4.688060207,1.36684033507692
236,-0.487461538461538,-10.71953091,6.338399186,0.965747787307692
237,-1.88030769230769,-10.72545336,6.779443173,1.33114134323077
238,-0.994181818181818,-8.547654552,5.775107635,1.39166194736364
239,-1.88875,-9.476694092,6.513963903,1.35356002688889
241,-1.316,-10.21220592,6.716782306,1.25858639475
242,-0.6535,-9.993399025,5.849646916,1.2665178537
243,-1.6145,-7.589767878,4.549177505,1.40315337991667
244,-1.53584615384615,-10.42284339,6.384317825,1.16655739423077
245,-2.91054545454545,-8.918510721,6.900907544,1.46140874536364
246,-1.55437037037037,-7.667864558,4.614048077,1.28545087788889
247,-1.20857894736842,-10.76877291,6.336799189,0.866136698263158
248,-1.3515,-10.80031646,6.305813924,0.866577361916667
249,-1.43311111111111,-8.338327798,5.283900702,1.3086037635
250,-1.67981818181818,-8.414452924,7.277802758,1.50842723342424
251,-1.6564,-11.23720875,7.024078329,1.28198376644
253,-1.6197619047619,-7.606043652,4.396766856,1.16810006180952
254,-2.06669565217391,-8.357885796,6.792511461,1.45990976565217
255,-1.89488235294118,-8.053916438,4.874617194,1.338623706
256,-2.06689473684211,-9.064488065,6.860587236,1.445450952
257,-1.59809523809524,-7.522871172,5.085261478,1.399870975
258,-1.89538095238095,-10.61308672,6.426353293,1.27933149119048
259,-2.22841176470588,-7.627701427,4.80224939,1.33382185770588
260,-2.0185,-8.133040072,6.140089979,1.4759652093125
261,-1.89853846153846,-10.77871714,6.371534388,0.913581174076923
262,-1.67510526315789,-9.762150393,8.425081927,1.19493366568421
263,-2.3392,-7.71335994,4.773707827,1.32084734114286
264,-2.14545454545455,-7.74553968,5.340921107,1.47364793009091
266,-0.924,-10.79203588,6.330234914,0.958050319142857
268,-0.983592592592593,-7.885021956,5.027911053,1.37542144466667
269,-1.80163157894737,-8.849863735,5.484409348,1.36090178868421
270,-1.2821,-9.887494811,8.208251636,1.3786741735
272,-1.62321428571429,-10.57644225,6.385177941,1.24773971528571
273,-2.11069230769231,-10.28988672,6.334782903,1.18279532284615
274,-1.62052631578947,-8.129610017,6.077491858,1.16689373952632
275,-1.137,-10.75016485,6.284759263,0.864147392090909
276,-1.40757894736842,-10.11153844,7.191653991,1.39870603484211
277,-2.50328571428571,-8.109082748,5.610699545,1.43026896914286
278,-1.06282352941176,-7.645245836,4.582556499,1.33836915911765
279,-1.99175,-9.435675608,7.084077599,1.384849444
280,-0.869052631578947,-7.507654204,5.323968582,1.46095898910526
281,-1.802,-10.39047589,6.154035764,1.01083823772727
282,-1.44836842105263,-7.717959415,4.392157556,1.12782471447368
283,-1.59676470588235,-9.01449968,5.052904678,1.13462653570588
284,-0.568777777777778,-10.74288867,6.284786059,0.941517041888889
286,-1.71366666666667,-10.67801084,6.283196919,0.896034697666667
287,-1.6984,-10.23454201,6.910780037,1.31495821488
288,-1.1826,-8.141244127,6.072375632,1.2041847945
289,-1.48870967741935,-8.577901472,7.057532185,1.48563176222581
290,-1.4545625,-8.991067871,7.226790234,1.2843187821875
291,-2.00688888888889,-7.885272077,5.190871303,1.32444114144444
292,-1.126,-9.471823762,7.007470859,1.2325571774
294,-2.06792307692308,-9.56007509,5.514225782,1.31292926353846
295,-1.63996,-8.758981718,7.022873998,1.47979911344
296,-2.40238888888889,-8.419596606,5.668581534,1.43982746866667
297,-2.046,-8.914344163,5.406537977,1.34191254766667
299,-1.38752631578947,-10.81613588,6.86908952,1.00184890489474
300,-1.09375,-7.679035433,5.193265022,1.369222335375
